pt1_cam1_U,pt1_cam1_V
3834.916917,1428.784592
3835.030000,1429.020000
3835.120000,1429.060000
3835.090000,1429.230000
3835.140000,1429.220000
3835.030000,1429.360000
3834.910000,1429.230000
3834.830000,1429.290000
3834.600000,1429.330000
3833.930000,1429.290000
3833.700000,1429.330000
3833.060000,1429.180000
3832.160000,1429.330000
3831.530000,1429.260000
3831.090000,1429.390000
3830.740000,1429.330000
3829.890000,1429.360000
3828.970000,1429.370000
3828.090000,1429.410000
3827.170000,1429.430000
3826.250000,1429.430000
3825.320000,1429.590000
3824.390000,1429.860000
3823.250000,1429.990000
3822.220000,1429.940000
3821.260000,1430.110000
3820.120000,1430.240000
3819.080000,1430.140000
3817.960000,1430.380000
3816.850000,1430.410000
3815.770000,1430.250000
3814.540000,1430.110000
3812.920000,1430.170000
3811.100000,1430.130000
3809.480000,1430.000000
3808.200000,1430.130000
3807.060000,1430.280000
3805.670000,1430.490000
3803.960000,1430.820000
3802.230000,1430.920000
3800.900000,1430.870000
3799.070000,1430.880000
3797.260000,1430.970000
3795.540000,1430.890000
3794.110000,1430.940000
3792.830000,1430.810000
3791.280000,1430.940000
3789.580000,1430.870000
3787.710000,1430.840000
3785.820000,1430.870000
3783.900000,1430.830000
3781.980000,1430.900000
3780.070000,1430.960000
3778.090000,1431.080000
3776.200000,1431.030000
3774.180000,1431.180000
3772.340000,1431.120000
3770.350000,1431.140000
3768.300000,1431.080000
3766.380000,1431.080000
3764.300000,1431.060000
3762.390000,1430.950000
3760.370000,1431.030000
3758.350000,1430.750000
3756.270000,1430.900000
3754.250000,1430.870000
3752.130000,1430.890000
3750.080000,1430.750000
3748.010000,1430.800000
3745.860000,1430.880000
3743.810000,1430.730000
3741.670000,1430.870000
3739.460000,1430.700000
3736.770000,1430.860000
3734.110000,1430.760000
3731.480000,1430.900000
3729.160000,1431.060000
3726.910000,1431.040000
3724.630000,1431.150000
3721.890000,1431.040000
3719.140000,1431.120000
3716.280000,1431.020000
3713.570000,1431.000000
3711.130000,1431.010000
3708.770000,1431.010000
3705.880000,1430.940000
3703.180000,1430.870000
3700.190000,1430.900000
3697.400000,1430.810000
3694.880000,1430.930000
3691.930000,1430.960000
3688.960000,1431.200000
3685.990000,1431.180000
3683.130000,1431.170000
3680.070000,1431.310000
3677.210000,1431.190000
3674.150000,1431.390000
3671.200000,1431.560000
3668.130000,1431.620000
3665.090000,1431.560000
3662.070000,1431.640000
3658.930000,1431.630000
3655.890000,1431.480000
3652.710000,1431.380000
3649.740000,1431.220000
3646.600000,1431.440000
3643.040000,1431.610000
3639.850000,1431.720000
3636.760000,1431.680000
3633.730000,1431.700000
3630.530000,1431.750000
3626.960000,1431.570000
3623.240000,1431.440000
3620.220000,1431.380000
3616.940000,1431.400000
3613.780000,1431.410000
3610.490000,1431.500000
3606.810000,1431.790000
3603.230000,1431.660000
3599.940000,1431.730000
3596.760000,1431.400000
3593.270000,1431.160000
3589.690000,1431.040000
3585.880000,1431.010000
3582.150000,1430.870000
3578.380000,1430.870000
3575.030000,1430.990000
3571.770000,1430.930000
3567.880000,1430.960000
3564.010000,1430.870000
3560.130000,1431.020000
3556.340000,1430.960000
3552.900000,1431.020000
3548.960000,1430.930000
3545.110000,1430.830000
3541.180000,1430.890000
3537.340000,1430.640000
3533.460000,1430.310000
3530.030000,1430.140000
3526.510000,1430.290000
3522.580000,1430.150000
3518.590000,1430.250000
3514.610000,1430.200000
3510.660000,1430.170000
3506.460000,1430.260000
3502.030000,1430.120000
3497.950000,1430.220000
3493.910000,1430.100000
3489.750000,1430.030000
3485.630000,1429.970000
3481.500000,1429.900000
3476.940000,1429.980000
3472.370000,1429.900000
3468.160000,1430.080000
3463.950000,1429.970000
3459.630000,1430.060000
3454.870000,1429.950000
3450.120000,1429.990000
3445.240000,1429.990000
3440.500000,1429.930000
3436.100000,1429.950000
3431.740000,1429.800000
3426.860000,1429.830000
3421.990000,1429.700000
3417.040000,1429.780000
3412.120000,1429.700000
3407.240000,1429.820000
3402.270000,1429.930000
3397.320000,1429.950000
3392.330000,1430.020000
3387.430000,1429.960000
3382.780000,1430.050000
3377.710000,1429.920000
3372.710000,1429.920000
3367.620000,1429.850000
3362.630000,1429.810000
3357.510000,1429.800000
3351.920000,1429.680000
3346.390000,1429.730000
3341.290000,1429.680000
3336.070000,1429.780000
3330.980000,1429.760000
3325.800000,1429.940000
3320.660000,1429.970000
3315.640000,1430.050000
3310.410000,1430.100000
3304.870000,1430.030000
3299.140000,1430.030000
3293.660000,1429.900000
3288.260000,1429.880000
3283.110000,1429.740000
3277.870000,1429.710000
3272.690000,1429.830000
3267.000000,1429.710000
3261.200000,1429.850000
3255.680000,1429.830000
3250.300000,1429.920000
3245.050000,1429.890000
3239.880000,1429.970000
3234.620000,1429.990000
3228.930000,1429.980000
3223.140000,1430.000000
3217.510000,1429.840000
3212.200000,1429.900000
3206.910000,1429.740000
3201.670000,1429.780000
3195.860000,1429.690000
3190.090000,1429.700000
3184.240000,1429.710000
3178.510000,1429.600000
3173.150000,1429.800000
3167.760000,1429.740000
3161.970000,1429.750000
3156.210000,1429.690000
3150.330000,1429.640000
3144.400000,1429.700000
3138.680000,1429.650000
3133.100000,1429.680000
3127.290000,1429.580000
3122.030000,1429.650000
3116.650000,1429.530000
3110.700000,1429.160000
3104.730000,1429.190000
3098.810000,1429.240000
3092.830000,1429.350000
3086.910000,1429.270000
3080.870000,1429.390000
3074.940000,1429.310000
3068.830000,1429.300000
3062.820000,1429.260000
3056.780000,1429.300000
3050.690000,1429.310000
3044.720000,1429.260000
3038.500000,1429.400000
3031.870000,1429.710000
3025.150000,1429.760000
3018.620000,1429.700000
3012.420000,1429.770000
3006.220000,1429.710000
2999.990000,1429.810000
2993.950000,1429.780000
2987.780000,1429.600000
2981.570000,1429.260000
2974.770000,1429.080000
2967.830000,1429.120000
2961.120000,1429.060000
2954.630000,1429.110000
2948.100000,1429.140000
2941.800000,1429.290000
2934.880000,1429.260000
2928.130000,1429.170000
2921.260000,1429.230000
2914.520000,1429.220000
2908.070000,1429.280000
2901.780000,1429.210000
2894.910000,1429.250000
2887.950000,1429.180000
2881.090000,1429.120000
2874.170000,1429.120000
2867.370000,1429.080000
2861.100000,1429.120000
2854.790000,1428.980000
2847.810000,1429.040000
2840.980000,1429.020000
2834.000000,1429.130000
2827.150000,1429.180000
2820.260000,1429.220000
2813.320000,1429.270000
2806.370000,1429.190000
2799.520000,1429.240000
2793.310000,1429.040000
2786.980000,1429.010000
2780.610000,1428.960000
2773.820000,1428.940000
2766.940000,1428.990000
2760.100000,1428.940000
2753.130000,1428.990000
2746.390000,1429.010000
2740.040000,1429.040000
2733.730000,1428.980000
2726.860000,1429.070000
2719.950000,1429.040000
2713.080000,1429.010000
2706.110000,1429.010000
2699.250000,1428.950000
2692.340000,1428.910000
2685.660000,1428.840000
2679.300000,1428.920000
2672.950000,1428.900000
2666.710000,1428.920000
2659.790000,1428.970000
2652.890000,1428.930000
2646.040000,1429.060000
2639.140000,1428.990000
2632.190000,1429.070000
2625.300000,1428.950000
2618.420000,1428.960000
2612.140000,1428.830000
2605.690000,1428.800000
2598.720000,1428.850000
2591.850000,1428.830000
2584.810000,1428.900000
2577.820000,1428.830000
2570.830000,1428.910000
2563.820000,1428.900000
2556.820000,1428.920000
2549.800000,1429.000000
2542.790000,1428.970000
2535.780000,1429.020000
2528.740000,1428.900000
2521.600000,1428.930000
2513.970000,1428.860000
2506.330000,1428.880000
2499.240000,1428.880000
2492.090000,1428.830000
2484.860000,1428.860000
2477.770000,1428.820000
2470.560000,1428.900000
2462.920000,1428.700000
2455.210000,1428.880000
2448.010000,1428.750000
2440.850000,1428.780000
2433.750000,1428.750000
2426.630000,1428.710000
2419.410000,1428.770000
2411.740000,1428.670000
2403.950000,1428.760000
2396.230000,1428.660000
2388.990000,1428.690000
2381.790000,1428.530000
2374.610000,1428.100000
2366.790000,1428.060000
2359.070000,1427.960000
2351.420000,1428.030000
2344.100000,1427.820000
2336.930000,1427.910000
2329.720000,1427.690000
2322.510000,1427.790000
2314.750000,1427.820000
2306.940000,1427.810000
2299.280000,1427.900000
2292.040000,1427.860000
2284.820000,1427.860000
2277.640000,1427.800000
2269.860000,1427.800000
2262.190000,1427.670000
2254.960000,1427.700000
2247.660000,1427.660000
2240.080000,1427.560000
2232.890000,1427.180000
2225.810000,1427.140000
2218.450000,1427.250000
2210.930000,1427.210000
2203.170000,1427.420000
2195.450000,1427.810000
2188.290000,1427.870000
2181.140000,1427.800000
2173.970000,1427.830000
2166.830000,1427.760000
2159.810000,1427.570000
2152.700000,1427.070000
2145.540000,1426.920000
2137.880000,1426.990000
2130.290000,1426.880000
2123.250000,1426.910000
2115.980000,1427.070000
2109.010000,1426.960000
2101.760000,1427.040000
2094.830000,1426.920000
2087.730000,1426.980000
2080.490000,1426.940000
2072.910000,1427.050000
2065.470000,1427.010000
2058.510000,1426.800000
2051.230000,1426.930000
2044.360000,1426.840000
2037.260000,1426.880000
2030.250000,1426.710000
2023.100000,1426.930000
2016.100000,1426.820000
2008.890000,1426.890000
2001.870000,1426.910000
1994.790000,1426.980000
1987.720000,1426.950000
1980.690000,1426.780000
1973.470000,1426.810000
1965.940000,1426.500000
1958.260000,1425.980000
1951.160000,1425.970000
1944.130000,1425.960000
1937.070000,1425.940000
1930.140000,1425.860000
1923.100000,1425.870000
1916.130000,1425.660000
1909.000000,1425.190000
1902.010000,1425.060000
1895.060000,1425.040000
1888.390000,1424.800000
1882.070000,1423.740000
1876.020000,1422.310000
1870.380000,1421.630000
1864.900000,1422.220000
1859.110000,1423.380000
1853.650000,1423.910000
1848.510000,1424.120000
1843.550000,1423.140000
1839.270000,1421.630000
1835.330000,1420.170000
1831.370000,1419.830000
1827.440000,1420.500000
1824.140000,1421.050000
1820.910000,1421.750000
1817.980000,1421.820000
1815.420000,1421.670000
1813.100000,1421.300000
1811.200000,1420.870000
1810.030000,1420.610000
1809.300000,1420.650000
1808.420000,1421.330000
1808.150000,1421.560000
1808.130000,1421.310000
1808.800000,1420.740000
1809.570000,1420.490000
1810.750000,1420.540000
1812.220000,1421.000000
1814.100000,1420.920000
1816.250000,1420.910000
1818.320000,1420.800000
