pt1_cam1_U,pt1_cam1_V
3807.590005,1438.478406
3807.920000,1438.090000
3807.740000,1438.040000
3807.560000,1438.170000
3806.840000,1438.140000
3806.040000,1438.130000
3805.480000,1438.270000
3805.320000,1438.330000
3805.220000,1438.540000
3805.230000,1438.910000
3805.200000,1439.010000
3805.210000,1439.040000
3805.120000,1439.060000
3805.110000,1439.110000
3805.040000,1439.110000
3804.870000,1439.070000
3804.730000,1439.060000
3804.260000,1438.980000
3803.510000,1439.000000
3802.770000,1438.980000
3801.820000,1439.030000
3800.810000,1439.160000
3799.890000,1439.280000
3798.850000,1439.410000
3797.920000,1439.930000
3796.870000,1439.950000
3795.850000,1440.000000
3794.810000,1439.900000
3793.640000,1439.720000
3792.050000,1439.680000
3790.910000,1439.580000
3789.820000,1439.190000
3788.780000,1439.190000
3787.700000,1439.120000
3786.660000,1439.350000
3785.580000,1439.830000
3784.420000,1439.930000
3782.910000,1439.870000
3781.180000,1439.840000
3780.120000,1440.000000
3779.050000,1439.920000
3777.940000,1439.840000
3776.830000,1439.900000
3775.660000,1439.840000
3774.520000,1439.910000
3772.790000,1439.790000
3771.060000,1439.800000
3769.380000,1439.790000
3768.090000,1439.760000
3766.850000,1439.970000
3765.700000,1439.960000
3764.260000,1439.890000
3762.500000,1439.920000
3760.690000,1439.760000
3758.750000,1439.750000
3756.980000,1439.660000
3755.030000,1439.600000
3753.150000,1439.620000
3751.320000,1439.520000
3749.280000,1439.170000
3747.530000,1439.200000
3746.050000,1439.240000
3744.660000,1439.440000
3742.770000,1439.790000
3740.740000,1439.730000
3738.770000,1439.730000
3736.770000,1439.550000
3734.700000,1439.240000
3732.730000,1439.080000
3730.700000,1439.040000
3728.640000,1439.110000
3726.500000,1439.050000
3723.900000,1439.320000
3721.300000,1439.620000
3719.150000,1439.670000
3717.070000,1439.940000
3715.020000,1440.050000
3712.880000,1440.060000
3710.790000,1440.000000
3708.640000,1439.990000
3706.460000,1440.030000
3703.760000,1439.800000
3700.970000,1439.720000
3698.180000,1439.640000
3695.410000,1439.540000
3693.180000,1439.230000
3690.990000,1439.250000
3688.740000,1439.240000
3686.030000,1439.300000
3683.210000,1439.250000
3680.490000,1439.400000
3678.290000,1439.740000
3675.960000,1439.660000
3673.750000,1439.730000
3671.420000,1439.720000
3668.570000,1439.780000
3665.740000,1439.680000
3662.850000,1439.590000
3660.030000,1439.760000
3657.100000,1439.710000
3654.190000,1439.860000
3651.360000,1439.870000
3648.990000,1439.910000
3646.710000,1440.120000
3643.860000,1440.050000
3640.840000,1440.090000
3638.050000,1440.090000
3635.060000,1439.940000
3632.190000,1440.060000
3629.200000,1439.910000
3626.240000,1439.870000
3623.470000,1439.830000
3620.990000,1439.740000
3617.980000,1439.840000
3614.960000,1439.720000
3611.960000,1439.690000
3609.030000,1439.710000
3606.010000,1439.640000
3602.890000,1439.720000
3599.930000,1439.690000
3596.850000,1439.530000
3593.820000,1439.240000
3590.810000,1439.130000
3587.760000,1439.100000
3584.810000,1439.110000
3581.640000,1439.020000
3578.620000,1439.160000
3575.600000,1439.150000
3572.480000,1439.100000
3569.030000,1439.160000
3565.930000,1439.170000
3562.870000,1439.290000
3559.830000,1439.210000
3556.740000,1439.150000
3553.690000,1439.280000
3550.580000,1439.310000
3546.900000,1439.370000
3543.190000,1439.250000
3539.950000,1439.130000
3536.890000,1439.240000
3533.770000,1439.120000
3530.480000,1439.120000
3526.750000,1439.010000
3522.920000,1438.880000
3519.070000,1438.910000
3515.250000,1438.690000
3511.470000,1438.650000
3508.150000,1438.630000
3504.870000,1438.640000
3501.490000,1438.810000
3497.650000,1438.750000
3493.740000,1438.820000
3489.880000,1438.930000
3485.950000,1438.960000
3481.980000,1439.020000
3478.010000,1439.020000
3474.060000,1438.940000
3470.170000,1438.980000
3466.160000,1438.810000
3462.180000,1438.870000
3458.300000,1438.730000
3454.270000,1438.600000
3450.350000,1438.300000
3446.340000,1438.250000
3442.330000,1438.430000
3438.410000,1438.810000
3434.330000,1438.850000
3430.280000,1438.990000
3426.170000,1439.040000
3422.070000,1439.080000
3418.050000,1439.110000
3413.950000,1439.070000
3409.900000,1439.050000
3405.810000,1438.890000
3401.700000,1438.790000
3397.670000,1438.750000
3393.540000,1438.540000
3388.760000,1438.150000
3384.050000,1438.080000
3379.270000,1438.080000
3375.160000,1438.250000
3370.990000,1438.270000
3366.850000,1438.520000
3362.690000,1438.980000
3358.440000,1439.000000
3353.740000,1439.080000
3348.960000,1439.020000
3344.100000,1439.090000
3339.420000,1438.970000
3335.130000,1438.930000
3330.930000,1438.930000
3326.680000,1438.910000
3321.880000,1438.910000
3317.040000,1438.910000
3312.220000,1438.840000
3307.490000,1438.930000
3303.150000,1438.890000
3298.920000,1438.890000
3294.740000,1438.840000
3290.460000,1438.760000
3285.630000,1438.800000
3280.800000,1438.660000
3275.950000,1438.560000
3271.130000,1438.100000
3266.230000,1438.000000
3261.400000,1438.110000
3257.120000,1438.020000
3252.810000,1438.050000
3247.970000,1438.240000
3242.990000,1438.260000
3238.040000,1438.400000
3233.220000,1438.850000
3228.170000,1438.900000
3223.230000,1438.970000
3218.300000,1438.910000
3213.280000,1438.880000
3208.360000,1438.830000
3203.320000,1438.700000
3198.320000,1438.700000
3193.300000,1438.580000
3188.270000,1438.020000
3183.320000,1438.070000
3178.220000,1438.100000
3173.210000,1438.230000
3168.180000,1438.280000
3163.130000,1438.280000
3158.130000,1438.370000
3153.030000,1438.290000
3148.040000,1438.380000
3142.930000,1438.350000
3137.820000,1438.320000
3132.820000,1438.330000
3127.660000,1438.170000
3122.550000,1438.100000
3116.820000,1438.070000
3110.970000,1437.960000
3105.220000,1437.970000
3099.660000,1437.920000
3094.280000,1437.960000
3089.080000,1437.960000
3083.880000,1437.970000
3078.720000,1438.040000
3073.520000,1438.050000
3067.610000,1438.020000
3061.750000,1438.120000
3055.840000,1438.050000
3049.920000,1438.140000
3044.030000,1438.110000
3038.180000,1438.150000
3032.370000,1438.140000
3027.040000,1438.100000
3021.830000,1438.240000
3016.640000,1438.230000
3010.760000,1438.120000
3004.890000,1438.200000
2998.980000,1438.130000
2993.030000,1438.100000
2987.230000,1438.020000
