pt1_cam1_U,pt1_cam1_V
3496.049359,1658.750890
3495.370000,1658.590000
3494.480000,1658.270000
3493.340000,1657.540000
3492.060000,1656.830000
3491.090000,1656.130000
3490.080000,1655.510000
3489.270000,1655.130000
3488.360000,1654.940000
3487.790000,1654.940000
3487.070000,1654.990000
3486.210000,1655.050000
3485.540000,1655.320000
3484.990000,1655.710000
3484.290000,1656.160000
3483.820000,1656.570000
3482.860000,1656.820000
3482.010000,1657.070000
3481.110000,1657.180000
3480.050000,1657.570000
3478.830000,1657.560000
3477.520000,1657.630000
3475.960000,1657.360000
3474.250000,1656.750000
3472.870000,1656.180000
3471.220000,1655.760000
3469.800000,1655.370000
3468.430000,1655.100000
3467.070000,1654.970000
3465.850000,1655.050000
3464.530000,1655.050000
3462.860000,1655.420000
3461.140000,1655.810000
3459.540000,1656.030000
3458.070000,1656.210000
3456.650000,1656.280000
3454.830000,1656.450000
3452.910000,1656.520000
3450.880000,1656.160000
3448.860000,1655.860000
3446.750000,1655.450000
3444.580000,1655.070000
3442.010000,1654.760000
3439.850000,1654.320000
3437.820000,1654.220000
3435.610000,1654.200000
3433.240000,1654.380000
3431.230000,1654.760000
3429.050000,1654.920000
3426.880000,1655.250000
3424.420000,1655.770000
3422.000000,1656.120000
3419.310000,1656.620000
3416.470000,1656.790000
3413.700000,1656.960000
3410.650000,1656.740000
3407.280000,1656.830000
3403.890000,1656.450000
3400.320000,1656.210000
3396.910000,1655.770000
3393.120000,1655.130000
3389.560000,1654.940000
3386.100000,1654.790000
3382.760000,1654.640000
3379.110000,1654.570000
3375.700000,1654.810000
3372.090000,1655.390000
3368.560000,1655.830000
3364.730000,1656.200000
3360.890000,1656.820000
3357.060000,1657.030000
3353.140000,1657.420000
3349.130000,1657.660000
3345.120000,1657.910000
3341.150000,1657.820000
3337.010000,1657.840000
3332.980000,1657.730000
3328.750000,1657.400000
3324.640000,1657.230000
3320.430000,1657.000000
3315.960000,1656.930000
3311.850000,1657.090000
3307.460000,1657.090000
3303.010000,1657.270000
3298.770000,1657.400000
3294.250000,1657.630000
3289.960000,1658.040000
3285.470000,1658.260000
3280.810000,1658.740000
3276.180000,1658.910000
3271.590000,1659.130000
3266.960000,1659.470000
3262.260000,1659.790000
3257.680000,1660.040000
3252.830000,1659.910000
3248.040000,1659.760000
3243.190000,1659.670000
3238.240000,1659.500000
3233.510000,1659.030000
3228.950000,1658.840000
3223.960000,1658.690000
3219.090000,1658.530000
3214.200000,1658.190000
3209.130000,1658.380000
3203.970000,1658.490000
3198.700000,1658.810000
3193.210000,1659.060000
3187.890000,1659.320000
3182.600000,1659.790000
3177.070000,1660.010000
3171.710000,1660.180000
3166.130000,1660.520000
3161.040000,1660.620000
3155.810000,1660.880000
3150.420000,1660.850000
3144.910000,1660.870000
3139.390000,1660.970000
3134.100000,1660.740000
3128.770000,1660.980000
3123.070000,1660.750000
3117.290000,1660.830000
3111.970000,1660.760000
3106.600000,1660.660000
3100.780000,1660.890000
3094.950000,1660.710000
3089.180000,1660.600000
3083.240000,1660.270000
3077.340000,1660.330000
3071.320000,1660.660000
3065.210000,1660.780000
3059.000000,1661.080000
3052.610000,1661.350000
3045.890000,1661.860000
3039.200000,1662.200000
3032.710000,1662.710000
3025.560000,1663.040000
3018.630000,1663.140000
3011.730000,1663.170000
3004.800000,1663.110000
2997.800000,1663.130000
2990.800000,1663.020000
2983.930000,1662.870000
2976.860000,1662.680000
2969.920000,1662.750000
2962.780000,1662.440000
2955.670000,1662.430000
2948.620000,1662.340000
2941.300000,1662.380000
2933.940000,1662.510000
2926.370000,1663.230000
2919.000000,1663.670000
2911.490000,1663.490000
2903.820000,1663.630000
2895.930000,1663.770000
2888.110000,1663.890000
2880.450000,1663.960000
2873.040000,1663.680000
2865.730000,1663.360000
2857.910000,1663.250000
2850.070000,1663.110000
2842.250000,1663.240000
2834.490000,1663.210000
2826.920000,1663.530000
2818.980000,1663.960000
2811.000000,1664.190000
2803.100000,1664.570000
2795.090000,1665.050000
2787.140000,1665.720000
2779.220000,1665.820000
2771.190000,1665.870000
2763.280000,1665.960000
2755.580000,1665.690000
2748.100000,1665.380000
2740.750000,1665.080000
2732.850000,1664.780000
2725.050000,1664.400000
2717.140000,1664.040000
2709.260000,1664.120000
2701.460000,1663.890000
2693.860000,1663.910000
2686.030000,1664.120000
2677.890000,1664.330000
2669.880000,1665.050000
2661.700000,1665.550000
2653.700000,1665.930000
2645.800000,1666.430000
2637.810000,1666.560000
2629.840000,1666.630000
2621.810000,1666.550000
2613.880000,1666.450000
2605.910000,1665.940000
2597.960000,1665.410000
2589.920000,1664.880000
2581.720000,1664.250000
2573.530000,1664.000000
2565.050000,1663.630000
2556.590000,1663.090000
2548.040000,1663.120000
2539.720000,1663.150000
2531.040000,1663.410000
2522.410000,1663.910000
2513.990000,1664.210000
2505.920000,1664.820000
2497.760000,1665.160000
2489.390000,1665.800000
2480.820000,1666.100000
2472.290000,1666.190000
2464.110000,1666.620000
2455.650000,1666.950000
2446.980000,1667.180000
2438.270000,1667.210000
2430.040000,1667.100000
2421.630000,1666.930000
2412.670000,1666.540000
2403.890000,1666.220000
2394.880000,1665.860000
2385.860000,1665.810000
2377.150000,1665.380000
2368.260000,1664.830000
2359.290000,1664.430000
2350.360000,1663.970000
2341.420000,1663.890000
2333.060000,1663.730000
2324.680000,1663.600000
2315.640000,1663.390000
2306.810000,1663.320000
2297.790000,1663.300000
2289.000000,1663.620000
2279.990000,1663.960000
2270.940000,1664.330000
2262.260000,1664.450000
2253.490000,1664.780000
2244.550000,1664.690000
2235.880000,1664.540000
2227.120000,1664.470000
2218.110000,1664.500000
2209.000000,1665.100000
2200.100000,1665.030000
2191.140000,1664.850000
2182.350000,1664.770000
2173.790000,1664.610000
2164.860000,1664.320000
2155.640000,1664.270000
2146.240000,1664.190000
2137.410000,1664.080000
2128.350000,1663.760000
2119.660000,1663.290000
2111.150000,1662.950000
2102.930000,1662.700000
2094.680000,1661.900000
2085.800000,1661.510000
2077.420000,1661.140000
2068.860000,1661.520000
2060.160000,1661.730000
2052.180000,1661.790000
2043.920000,1662.150000
2035.590000,1662.380000
2026.040000,1663.740000
2017.210000,1664.460000
