pt1_cam1_U,pt1_cam1_V
3391.145297,1633.858436
3390.900000,1633.940000
3390.520000,1633.730000
3389.970000,1633.690000
3389.400000,1633.440000
3388.640000,1633.070000
3387.960000,1632.960000
3387.220000,1632.870000
3386.870000,1632.870000
3386.090000,1632.870000
3385.760000,1632.990000
3385.050000,1633.020000
3384.220000,1633.230000
3383.520000,1633.320000
3382.960000,1633.450000
3381.930000,1633.710000
3380.920000,1633.710000
3379.860000,1633.700000
3378.730000,1633.380000
3377.580000,1633.100000
3376.060000,1632.870000
3374.680000,1632.790000
3373.100000,1632.450000
3371.540000,1632.100000
3369.890000,1632.010000
3368.080000,1631.880000
3366.320000,1632.040000
3364.760000,1632.000000
3362.870000,1632.250000
3361.010000,1632.500000
3359.170000,1632.890000
3357.290000,1633.020000
3355.350000,1633.100000
3353.410000,1633.330000
3351.430000,1633.660000
3349.360000,1633.760000
3347.220000,1633.710000
3344.980000,1633.740000
3342.870000,1633.610000
3340.530000,1633.560000
3337.910000,1633.090000
3335.190000,1633.010000
3332.840000,1632.870000
3329.970000,1632.700000
3327.180000,1632.620000
3324.380000,1632.580000
3321.660000,1632.670000
3318.830000,1632.740000
3316.010000,1632.880000
3313.070000,1633.030000
3310.160000,1633.100000
3307.270000,1633.220000
3304.380000,1633.200000
3301.460000,1633.310000
3298.810000,1633.250000
3295.820000,1633.130000
3292.840000,1633.070000
3289.780000,1632.950000
3286.760000,1632.980000
3283.690000,1632.860000
3280.480000,1632.840000
3277.070000,1632.810000
3273.780000,1632.830000
3270.310000,1632.820000
3267.080000,1632.880000
3263.890000,1632.970000
3260.650000,1632.930000
3257.100000,1632.990000
3253.810000,1632.900000
3250.170000,1632.940000
3246.920000,1632.910000
3243.500000,1632.760000
3239.810000,1632.840000
3235.970000,1632.780000
3232.100000,1632.870000
3228.250000,1632.840000
3224.300000,1632.970000
3220.450000,1632.910000
3216.720000,1632.920000
3212.850000,1632.950000
3208.910000,1632.870000
3204.970000,1632.860000
3200.950000,1632.640000
3196.900000,1632.220000
3192.870000,1632.060000
3188.680000,1631.950000
3184.610000,1631.780000
3180.280000,1631.740000
3175.900000,1631.750000
3171.660000,1631.860000
3166.890000,1631.910000
3162.170000,1631.850000
3157.450000,1632.100000
3153.030000,1632.390000
3148.460000,1632.730000
3143.560000,1632.930000
3138.680000,1633.020000
3133.880000,1633.270000
3128.930000,1633.190000
3123.970000,1633.150000
3119.070000,1632.940000
3113.960000,1632.860000
3109.090000,1632.750000
3104.010000,1632.400000
3098.970000,1631.970000
3093.910000,1631.840000
3088.740000,1631.860000
3083.470000,1631.680000
3078.030000,1631.560000
3072.810000,1631.350000
3067.510000,1631.510000
3062.030000,1631.850000
3056.730000,1632.020000
3051.040000,1632.330000
3045.260000,1632.790000
3039.870000,1633.090000
3034.050000,1633.210000
3028.180000,1633.500000
3022.460000,1633.920000
3016.900000,1633.970000
3011.040000,1633.930000
3005.100000,1633.780000
2999.280000,1633.680000
2993.390000,1633.340000
2987.810000,1632.840000
2981.920000,1632.230000
2975.890000,1631.870000
2969.910000,1631.410000
2964.020000,1631.160000
2958.050000,1631.210000
2951.980000,1631.190000
2945.950000,1631.340000
2939.830000,1631.540000
2933.730000,1632.040000
2927.760000,1632.340000
2921.660000,1632.890000
2915.580000,1633.120000
2909.050000,1633.140000
2902.920000,1633.290000
2896.730000,1633.170000
2890.530000,1632.930000
2884.010000,1632.830000
2877.830000,1632.540000
2871.670000,1632.000000
2864.990000,1631.770000
2858.370000,1631.250000
2852.080000,1631.090000
2845.740000,1631.190000
2839.130000,1631.050000
2833.010000,1631.010000
2826.820000,1631.200000
2820.370000,1631.290000
2813.720000,1631.630000
2807.050000,1632.100000
2800.330000,1632.700000
2793.990000,1632.860000
2787.740000,1632.870000
2781.100000,1632.940000
2774.700000,1632.940000
2767.870000,1632.810000
2761.010000,1632.610000
2754.070000,1632.060000
2747.150000,1631.840000
2740.110000,1631.580000
2733.130000,1630.930000
2726.100000,1630.340000
2719.040000,1630.370000
2711.980000,1630.250000
2704.940000,1630.290000
2697.970000,1630.200000
2690.840000,1630.350000
2683.870000,1630.320000
2676.840000,1630.310000
2669.630000,1630.620000
2661.970000,1631.020000
2654.180000,1631.250000
2646.480000,1631.780000
2639.310000,1631.820000
2632.230000,1631.830000
2624.990000,1631.740000
2617.830000,1631.670000
2610.540000,1631.570000
2602.790000,1631.070000
2595.050000,1630.830000
2587.180000,1630.710000
2579.450000,1630.510000
2572.060000,1629.930000
2564.860000,1629.410000
2557.350000,1629.210000
2549.620000,1629.390000
2541.620000,1629.450000
2533.640000,1629.990000
2525.770000,1630.050000
2517.830000,1630.100000
2509.880000,1630.190000
2501.810000,1630.220000
2493.790000,1630.300000
2485.870000,1630.290000
2477.880000,1630.320000
2469.880000,1630.140000
2461.830000,1630.020000
2453.850000,1629.820000
2445.880000,1629.610000
2437.910000,1629.010000
2429.900000,1628.550000
2421.860000,1628.530000
2413.860000,1628.430000
2405.770000,1628.440000
2397.800000,1628.460000
2389.850000,1628.340000
2381.870000,1628.350000
2373.790000,1628.190000
2365.880000,1628.220000
2357.790000,1628.220000
2349.870000,1628.230000
2341.950000,1628.110000
2333.850000,1628.080000
2325.920000,1628.010000
2317.920000,1627.930000
2309.900000,1627.850000
2301.890000,1627.850000
2293.880000,1627.810000
2285.880000,1627.740000
2277.770000,1627.670000
2269.770000,1627.620000
2261.700000,1627.630000
2253.770000,1627.510000
2245.750000,1627.010000
2237.640000,1627.000000
2229.660000,1626.960000
2221.640000,1626.900000
2213.430000,1626.910000
2204.810000,1626.870000
2196.240000,1626.850000
2188.160000,1626.830000
2180.160000,1626.760000
2172.160000,1626.640000
2164.060000,1626.690000
2156.030000,1626.550000
2147.930000,1625.930000
2139.950000,1625.400000
2131.840000,1625.250000
2123.770000,1625.220000
2115.690000,1625.100000
2107.560000,1625.030000
2098.890000,1624.980000
2090.160000,1625.090000
2081.620000,1624.980000
2073.320000,1624.940000
2065.270000,1624.950000
2057.170000,1624.890000
2049.050000,1624.800000
2040.790000,1624.650000
2032.680000,1624.580000
2024.550000,1623.970000
2015.910000,1623.210000
2007.250000,1622.740000
1999.070000,1622.410000
1990.930000,1622.400000
1982.790000,1622.090000
1974.040000,1622.220000
1964.850000,1622.180000
1956.060000,1622.040000
1947.340000,1621.880000
1939.180000,1621.760000
1931.050000,1621.790000
1922.860000,1621.540000
1914.850000,1620.950000
1906.690000,1620.330000
1898.410000,1620.190000
1890.010000,1620.120000
1881.830000,1620.010000
1873.640000,1619.890000
1865.020000,1619.800000
1856.440000,1619.820000
1848.240000,1619.750000
1840.200000,1619.730000
1832.060000,1619.400000
1824.110000,1618.920000
1816.210000,1618.240000
1808.070000,1618.100000
1800.250000,1618.070000
1792.370000,1617.870000
1784.320000,1617.510000
1776.680000,1616.870000
1769.200000,1616.140000
1761.940000,1615.370000
1754.530000,1615.180000
1746.580000,1614.950000
1738.800000,1615.100000
1731.020000,1614.820000
1722.780000,1614.940000
1715.040000,1614.670000
1707.460000,1613.910000
1699.760000,1612.970000
1691.610000,1613.870000
1683.890000,1613.990000
1676.660000,1613.500000
1669.090000,1612.970000
1662.800000,1611.990000
1655.840000,1611.600000
1649.170000,1611.330000
1642.230000,1611.150000
1636.450000,1611.930000
1629.850000,1612.020000
1619.820949,1610.419814
1613.340000,1609.640000
1606.220000,1609.340000
1599.380000,1609.320000
1592.160000,1609.050000
1586.130000,1608.930000
1580.120000,1608.750000
1573.310000,1608.300000
1567.300000,1607.620000
