pt1_cam1_U,pt1_cam1_V
3364.195325,1646.031482
3363.720000,1645.980000
3363.520000,1645.980000
3362.980000,1645.850000
3362.530000,1645.900000
3361.910000,1645.810000
3360.960000,1645.700000
3360.200000,1645.700000
3359.190000,1645.700000
3358.340000,1645.790000
3357.330000,1645.810000
3356.300000,1645.940000
3355.360000,1645.970000
3354.370000,1645.900000
3353.400000,1645.930000
3352.370000,1645.780000
3351.310000,1645.800000
3350.110000,1645.620000
3348.890000,1645.350000
3347.720000,1645.310000
3346.270000,1645.160000
3344.920000,1645.190000
3343.600000,1645.180000
3342.100000,1645.310000
3340.910000,1645.390000
3339.590000,1645.450000
3338.230000,1645.860000
3336.930000,1645.980000
3335.810000,1646.210000
3334.510000,1646.290000
3332.980000,1646.440000
3331.770000,1646.760000
3330.130000,1646.800000
3328.880000,1646.840000
3327.510000,1646.770000
3325.860000,1646.750000
3324.340000,1646.600000
3322.820000,1646.310000
3321.200000,1646.140000
3319.710000,1646.010000
3317.910000,1645.980000
3316.180000,1645.870000
3314.360000,1645.780000
3312.810000,1645.760000
3310.940000,1645.620000
3309.110000,1645.690000
3307.090000,1645.560000
3305.080000,1645.360000
3303.090000,1645.430000
3301.070000,1645.500000
3299.100000,1645.860000
3297.060000,1645.990000
3295.070000,1646.180000
3293.040000,1646.180000
3291.070000,1646.250000
3289.120000,1646.320000
3287.170000,1646.280000
3285.170000,1646.230000
3283.210000,1645.970000
3281.190000,1645.810000
3279.260000,1645.520000
3277.130000,1645.040000
3275.120000,1644.930000
3273.100000,1644.750000
3270.930000,1644.750000
3268.840000,1644.690000
3266.690000,1644.790000
3264.600000,1644.950000
3262.080000,1645.030000
3259.910000,1645.250000
3257.810000,1645.430000
3255.460000,1645.710000
3253.040000,1645.730000
3250.770000,1645.640000
3248.170000,1645.520000
3245.820000,1645.110000
3243.170000,1644.860000
3240.880000,1644.620000
3238.230000,1644.160000
3235.660000,1644.040000
3232.820000,1643.890000
3229.900000,1643.910000
3227.120000,1643.910000
3224.180000,1643.960000
3221.350000,1644.210000
3218.690000,1644.390000
3215.670000,1644.900000
3212.630000,1645.190000
3209.570000,1645.470000
3206.530000,1645.730000
3203.130000,1645.760000
3200.020000,1645.880000
3196.840000,1645.810000
3193.560000,1645.610000
3190.130000,1645.160000
3186.950000,1645.020000
3183.690000,1644.850000
3180.150000,1644.580000
3176.710000,1644.130000
3173.190000,1643.950000
3169.880000,1643.830000
3166.510000,1643.760000
3162.920000,1643.680000
3159.290000,1643.850000
3155.990000,1643.980000
3152.530000,1644.030000
3148.990000,1644.260000
3145.280000,1644.380000
3141.870000,1644.910000
3138.200000,1645.070000
3134.790000,1645.210000
3131.130000,1645.310000
3127.660000,1645.320000
3123.990000,1645.440000
3120.330000,1645.650000
3116.850000,1645.610000
3113.260000,1645.520000
3109.670000,1645.160000
3105.970000,1645.030000
3102.080000,1644.900000
3098.240000,1644.900000
3094.550000,1644.750000
3091.000000,1644.630000
3087.260000,1644.680000
3083.730000,1644.640000
3079.800000,1644.660000
3075.980000,1644.590000
3072.050000,1644.650000
3068.160000,1644.690000
3064.260000,1644.590000
3060.190000,1644.660000
3056.250000,1644.550000
3052.290000,1644.200000
3048.460000,1644.150000
3044.770000,1644.020000
3040.840000,1644.060000
3036.890000,1643.850000
3032.820000,1643.770000
3028.840000,1643.540000
3024.770000,1643.230000
3020.800000,1643.260000
3016.620000,1643.320000
3012.250000,1643.430000
3008.260000,1643.740000
3004.250000,1643.900000
3000.330000,1643.960000
2996.210000,1644.030000
2992.240000,1644.180000
2988.210000,1644.160000
2984.140000,1644.060000
2980.110000,1643.910000
2975.960000,1643.690000
2971.640000,1643.300000
2966.960000,1643.090000
2962.260000,1642.970000
2957.970000,1642.800000
2953.730000,1642.630000
2949.060000,1642.390000
2944.400000,1642.380000
2940.060000,1642.570000
2935.750000,1642.860000
2931.050000,1642.900000
