pt1_cam1_U,pt1_cam1_V
3378.490049,1649.766209
3377.700000,1650.050000
3377.230000,1650.060000
3376.630000,1649.990000
3375.860000,1649.800000
3375.120000,1649.630000
3374.470000,1649.250000
3373.870000,1649.210000
3373.130000,1649.110000
3372.300000,1649.140000
3371.810000,1649.160000
3370.960000,1649.310000
3370.120000,1649.720000
3369.080000,1649.960000
3368.180000,1650.220000
3367.300000,1650.570000
3366.370000,1650.880000
3365.560000,1650.820000
3364.910000,1650.890000
3364.160000,1650.730000
3363.430000,1650.360000
3362.900000,1650.050000
3362.170000,1649.590000
3361.530000,1648.980000
3361.050000,1648.320000
3360.590000,1647.910000
3359.890000,1647.410000
3359.020000,1647.140000
3358.260000,1647.130000
3357.280000,1647.330000
3356.320000,1647.750000
3355.460000,1648.240000
3354.660000,1648.960000
3353.750000,1649.660000
3352.610000,1650.090000
3351.700000,1650.720000
3350.540000,1650.840000
3349.200000,1650.780000
3348.020000,1650.420000
3346.640000,1650.070000
3345.060000,1649.390000
3343.660000,1648.670000
3341.950000,1647.810000
3340.130000,1646.950000
3338.260000,1646.310000
3336.370000,1645.830000
3334.320000,1645.620000
3332.220000,1645.630000
3330.020000,1645.970000
3327.770000,1646.280000
3325.380000,1646.910000
3322.830000,1647.550000
3320.210000,1648.180000
3317.790000,1649.050000
3315.130000,1649.530000
3312.720000,1649.920000
3310.110000,1650.120000
3307.840000,1650.190000
3305.420000,1650.200000
3302.950000,1649.910000
3300.390000,1649.620000
3298.070000,1648.950000
3295.660000,1648.460000
3293.160000,1647.920000
3290.540000,1647.430000
3287.970000,1647.190000
3285.200000,1647.020000
3282.450000,1647.100000
3279.820000,1647.340000
3276.930000,1647.970000
3273.950000,1648.480000
3271.030000,1649.120000
3268.120000,1649.830000
3265.210000,1650.370000
3262.210000,1650.760000
3259.190000,1650.860000
3256.200000,1651.000000
3253.160000,1650.850000
3250.140000,1650.820000
3247.080000,1650.470000
3243.920000,1650.010000
3240.700000,1649.790000
3237.120000,1649.540000
3233.830000,1649.290000
3230.190000,1649.170000
3226.760000,1649.230000
3223.220000,1649.210000
3219.860000,1649.340000
3216.260000,1649.420000
3212.920000,1649.850000
3209.630000,1650.120000
3206.020000,1650.270000
3202.450000,1650.540000
3199.080000,1650.780000
3195.750000,1650.880000
3192.250000,1650.810000
3188.990000,1650.780000
3185.780000,1650.700000
3182.600000,1650.410000
3179.210000,1650.050000
3176.060000,1649.630000
3172.900000,1649.280000
3169.710000,1648.960000
3166.520000,1648.780000
3163.210000,1648.650000
3160.030000,1648.520000
3156.860000,1648.640000
3153.570000,1648.840000
3150.210000,1649.130000
3146.980000,1649.330000
3143.680000,1649.720000
3140.230000,1649.890000
3136.950000,1649.970000
3133.620000,1650.130000
3129.800000,1650.110000
3126.100000,1650.150000
3122.330000,1650.010000
3118.600000,1650.020000
3114.460000,1649.880000
3110.080000,1649.780000
3105.980000,1649.830000
3101.800000,1649.890000
3097.660000,1649.910000
3093.480000,1649.860000
3089.080000,1649.940000
3084.880000,1649.980000
3080.700000,1650.050000
3076.470000,1650.020000
3071.750000,1650.010000
3067.160000,1649.960000
3062.640000,1650.040000
3057.940000,1649.980000
3053.040000,1649.770000
3048.180000,1649.620000
3043.240000,1649.110000
3038.170000,1648.920000
3033.360000,1648.790000
3028.310000,1648.620000
3023.340000,1648.320000
3018.270000,1648.200000
3013.350000,1648.570000
3008.240000,1648.920000
3003.080000,1649.360000
2998.050000,1649.920000
2992.770000,1650.480000
2987.710000,1651.110000
2982.540000,1651.750000
2977.250000,1652.110000
2972.200000,1652.570000
2967.160000,1652.760000
2962.160000,1652.540000
2957.080000,1652.340000
2952.090000,1652.080000
2946.960000,1651.760000
2941.760000,1651.200000
2936.440000,1650.890000
2930.890000,1650.600000
2925.310000,1650.140000
2919.930000,1650.130000
2914.720000,1650.040000
2909.010000,1650.130000
2903.460000,1650.370000
2898.110000,1650.860000
2892.810000,1651.260000
2887.130000,1651.910000
2881.750000,1652.450000
2875.970000,1652.710000
2870.210000,1652.950000
2864.630000,1652.940000
2859.120000,1652.810000
2853.840000,1652.520000
2848.550000,1652.000000
2842.830000,1651.650000
2837.140000,1650.940000
2831.540000,1650.320000
2826.310000,1649.930000
2821.040000,1649.620000
2815.780000,1649.440000
2810.340000,1649.440000
2804.830000,1649.740000
2799.260000,1650.050000
2793.920000,1650.440000
2788.570000,1650.960000
2782.910000,1651.350000
2777.300000,1651.790000
2772.020000,1652.020000
2766.710000,1652.290000
2761.080000,1652.590000
2755.740000,1652.650000
2750.120000,1652.530000
2744.640000,1652.250000
2738.880000,1652.020000
2733.050000,1651.900000
2727.300000,1651.740000
2721.660000,1651.540000
2715.790000,1651.270000
2709.800000,1651.250000
2703.780000,1651.370000
2697.710000,1651.420000
2691.650000,1651.750000
2685.640000,1652.030000
2679.550000,1652.310000
2673.240000,1652.900000
2667.070000,1653.100000
2660.990000,1653.320000
2654.890000,1653.620000
2648.450000,1653.610000
2641.870000,1653.520000
2635.180000,1653.090000
2628.910000,1652.900000
2622.370000,1652.430000
2615.620000,1651.910000
2608.810000,1651.410000
2601.910000,1651.280000
2594.850000,1650.980000
2588.040000,1650.980000
2581.060000,1650.980000
2574.190000,1651.010000
2567.080000,1651.390000
2560.080000,1651.770000
2552.940000,1652.210000
2545.800000,1652.700000
2538.650000,1652.940000
2531.570000,1653.020000
2524.120000,1653.060000
2517.100000,1653.090000
2510.100000,1653.000000
2502.940000,1652.910000
2495.880000,1652.680000
2488.710000,1652.350000
2481.620000,1652.130000
2474.400000,1652.050000
2466.970000,1652.080000
2459.810000,1652.020000
2452.610000,1652.070000
2445.010000,1652.280000
2437.470000,1652.610000
2430.270000,1653.200000
2423.080000,1653.820000
2415.930000,1654.130000
2408.790000,1654.680000
2401.850000,1654.950000
2394.760000,1655.000000
2387.820000,1655.080000
2380.890000,1654.890000
2373.760000,1654.720000
2366.830000,1654.410000
2359.760000,1653.720000
2352.750000,1653.060000
2345.770000,1652.370000
2338.810000,1652.130000
2331.760000,1651.900000
2324.600000,1651.860000
2317.280000,1651.810000
2310.230000,1651.820000
2303.170000,1651.970000
2296.030000,1652.090000
